Player,Nation,Pos,Age,90s,Tackles_Def_3rd,Tackles_Mid 3rd,Tackles_Att_3rd,Pressure_Def_3rd,Pressure_Mid_3rd,Pressure_Att_3rd,Passing_Total_Cmp%,Short_Cmp%,Medium_Cmp%,Long_Cmp%,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Matches_Played,Starts,Minutes_Played,90s,Gls,Ast,xG,xA
Matty Cash,pl POL,DF,24-251,30.5,47,29,4,229,161,43,69.9,86.4,79.6,37.9,127,578,728,492,80,31,31,"2,747",30.5,3,3,2,1.8
Emiliano Martínez,ar ARG,GK,29-225,30,0,0,0,2,0,0,73.2,99.2,100,49,829,947,15,0,0,30,30,"2,700",30,0,0,0,0
Tyrone Mings,eng ENG,DF,29-033,28.4,19,7,4,81,50,20,81.3,85.7,91.2,58.7,299,980,629,112,51,29,28,"2,559",28.4,1,3,1.3,1.4
John McGinn,sct SCO,MF,27-179,27.3,30,40,13,123,221,86,75.2,84.5,83.2,58.2,62,327,791,412,25,28,28,"2,460",27.3,3,2,1.3,3.7
Ollie Watkins,eng ENG,FW,26-106,26.1,3,4,5,35,198,208,72.4,78.9,70.8,58.8,23,58,391,492,148,28,26,"2,345",26.1,8,1,9.9,2.2
Douglas Luiz,br BRA,MF,23-341,24.1,30,22,4,179,194,45,82.7,90.1,87.7,62.1,66,362,797,297,5,27,25,"2,172",24.1,1,3,1.2,2.2
Ezri Konsa,eng ENG,DF,24-174,24,11,10,1,81,54,13,87.7,90.9,93.7,66,182,603,431,66,34,25,25,"2,158",24,2,0,1.5,0.3
Jacob Ramsey,eng ENG,MF,20-322,23.4,28,26,3,150,216,95,86.1,89.9,89.2,79.2,44,250,651,413,46,29,25,"2,110",23.4,6,1,3.3,1.8
Danny Ings,eng ENG,FW,29-266,17.7,4,13,4,42,129,143,67.8,76.8,65.3,52.9,17,55,219,268,103,24,19,"1,593",17.7,5,5,5.3,1.7
Emi Buendía,ar ARG,"FW,MF",25-111,17.5,22,16,7,91,172,104,77.9,84.5,83,54.2,25,124,464,412,59,28,19,"1,575",17.5,2,4,2.2,4
Matt Targett,eng ENG,DF,26-209,15.9,26,5,0,107,62,22,74.4,84.7,83.2,49,62,289,423,291,17,17,17,"1,431",15.9,1,1,0.5,2.2
Philippe Coutinho,br BRA,"MF,FW",29-307,10.2,2,3,5,27,74,41,81.3,87.4,85.5,69,3,51,293,256,35,12,11,916,10.2,4,3,3.3,2.9
Lucas Digne,fr FRA,DF,28-269,8.1,4,3,3,40,27,20,73.7,90.9,73.8,39.5,31,155,212,243,20,10,10,729,8.1,0,1,0.5,0.7
Ashley Young,eng ENG,"DF,FW",36-280,12.7,11,8,4,49,47,27,76.9,86.4,80.3,55.2,38,186,300,227,18,21,9,"1,140",12.7,0,2,0.4,0.6
Marvelous Nakamba,zw ZIM,MF,28-086,8.4,13,9,1,75,65,15,86.3,88.3,90.1,66.7,29,127,238,48,0,12,8,758,8.4,0,0,0,0.1
Axel Tuanzebe,eng ENG,DF,24-152,5.6,6,2,0,23,20,4,86.8,90.9,90.4,73.6,41,161,112,7,3,9,6,508,5.6,0,0,0.2,0
Leon Bailey,jm JAM,"FW,MF",24-249,7,7,8,3,17,40,48,67.5,85.5,70.6,42.9,6,37,107,193,28,16,5,632,7,1,2,1.4,0.6
Calum Chambers,eng ENG,DF,27-085,5,3,4,1,24,20,1,81.5,87.5,90.2,58.5,69,204,125,14,5,6,5,452,5,1,0,0.1,0
Kortney Hause,eng ENG,DF,26-273,4.4,3,0,1,30,16,1,78.6,91.4,83.3,61.1,35,143,112,10,6,7,4,397,4.4,1,0,0.1,0
Anwar El Ghazi,nl NED,"FW,MF",26-347,4.3,1,2,0,7,24,17,71.3,86.2,63.4,62.5,3,16,64,117,17,9,4,386,4.3,1,1,1.1,0.4
Morgan Sanson,fr FRA,MF,27-240,4,5,4,3,51,60,24,77.1,93.8,80,38.9,5,46,137,56,3,10,3,356,4,0,0,0,0
Carney Chukwuemeka,eng ENG,"MF,FW",18-098,2.2,0,2,0,15,29,9,78.7,80.6,89.7,100,1,15,53,40,11,9,1,194,2.2,0,1,0.5,1
Bertrand Traoré,bf BFA,"FW,MF",26-221,2,0,0,1,3,4,13,76.9,87.5,78.6,87.5,0,4,50,55,12,7,1,176,2,0,0,0.2,0
Jed Steer,eng ENG,GK,29-204,1,0,0,0,0,0,0,75,100,100,50,33,36,1,0,0,1,1,90,1,0,0,0,0
Cameron Archer,eng ENG,"MF,FW",20-268,0.3,0,0,0,0,2,2,100,100,100,,0,1,2,9,3,3,0,27,0.3,0,0,0,0
Keinan Davis,eng ENG,FW,24-061,0.1,0,0,0,0,0,1,100,100,100,,0,0,5,2,0,1,0,12,0.1,0,0,0,0
Trézéguet,eg EGY,FW,27-196,0.1,0,0,0,0,0,0,100,100,,100,0,0,5,4,1,1,0,11,0.1,0,0,0.1,0
Tim Iroegbunam,eng ENG,MF,18-289,0.1,0,1,0,2,2,0,100,100,100,,0,2,3,0,0,1,0,5,0.1,0,0,0,0
Jaden Philogene Bidace,eng ENG,FW,19-332,0.1,0,0,0,1,1,0,,,,,0,1,0,2,0,1,0,5,0.1,0,0,0,0
Wesley Moraes,br BRA,FW,25-140,0,0,0,0,1,0,1,100,100,,,0,0,1,3,0,1,0,1,0,0,0,0,0
Squad Total,,,26.8,31,275,218,67,1485,1888,1003,78,86.9,85.8,55,2030,5758,7359,4541,730,31,341,"2,790",31,40,33,35.9,27.4
Opponent Total,,,27.5,31,278,205,66,1414,1882,981,80.5,87.9,87.1,62.7,2131,6709,8420,4757,744,31,341,"2,790",31,44,29,39,25.8
