Player,Nation,Pos,Age,90s,Tackles_Def_3rd,Tackles_Mid 3rd,Tackles_Att_3rd,Pressures_Def_3rd,Pressure_Mid_3rd,Pressure_Att_3rd,Passing_Total_Cmp%,Short_Cmp%,Medium_Cmp%,Long_Cmp%,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Matches_Played,Starts,Minutes_Played,90s,Gls,Ast,xG,xA
Robert Sanchez,es ESP,GK,24-151,16.6,0,0,0,86,52,16,81.8,99.3,97.7,44.8,1068,1362,14,0,0,31,31,"2,789",16.6,0,0,0,0.4
Marc Cucurella,es ESP,DF,23-270,9.8,27,35,7,60,93,45,78.9,91.4,86.1,52.8,96,614,1036,791,51,29,29,"2,549",9.8,0,1,0.4,2.4
Leandro Trossard,bs BEL,"FW,MF",27-135,4.2,8,12,14,15,11,3,75.7,85.8,79.1,72.2,14,153,548,791,149,30,28,"2,459",4.2,6,1,5.5,2.2
Joel Veltman,nd NED,DF,30-093,0.5,44,25,5,12,7,0,65.8,89.2,83.7,59.8,151,690,862,393,24,28,27,"2,334",0.5,0,1,0.7,1
Neal Maupay,fr FRA,FW,25-247,22.8,3,9,5,193,173,87,70.9,85.2,82.2,68.8,8,50,331,465,122,28,24,"2,125",22.8,8,2,7.4,2.2
Lewis Dunk,eng ENG,DF,30-148,1.5,9,10,1,11,15,6,57.3,93.6,94.9,78,248,1033,815,72,23,23,23,"2,033",1.5,1,0,1,0.2
Yves Bissouma,ml MLI,MF,25-231,3.4,32,32,3,17,35,11,60.2,91.4,92.8,82.4,84,368,759,263,15,22,21,"1,796",3.4,0,1,0.8,0.6
Pascal Gross,de GER,"MF,DF",30-307,12,16,9,2,0,0,0,74.9,88.3,83.1,54.7,39,219,567,537,41,23,20,"1,646",12,0,3,2.1,3.8
Jakub Moder,po POL,"FW,MF",23-011,2.3,19,14,9,11,29,30,63.3,82.8,74.6,57.3,40,203,436,484,68,28,19,"1,701",2.3,0,3,2.4,1.7
Adam Lallana,eng ENG,MF,33-343,0.2,19,15,4,0,2,3,70.9,91.5,91.2,66.7,44,283,614,274,38,23,18,"1,544",0.2,0,1,1.2,0.7
Alexis Mac Allister,arg ARG,"MF,FW",23-115,4.8,22,26,13,29,43,26,71.4,86.8,91.5,59.1,32,183,518,454,39,27,16,"1,607",4.8,4,2,3.6,1.2
Tariq Lamptey,eng ENG,DF,21-200,5,14,18,4,20,13,3,64.4,88.2,80.3,40.3,36,212,373,490,42,25,15,"1,462",5,0,2,0.7,2
Shane Duffy,irl IRL,DF,30-107,24.2,12,1,3,140,102,67,79.6,92.9,93.6,75.9,193,722,468,61,26,18,15,"1,436",24.2,1,0,1.3,0.1
Adam Webster,eng ENG,DF,27-104,20.7,14,3,2,111,195,92,64.4,88.4,92.3,61.3,105,573,559,104,11,16,14,"1,173",20.7,2,0,1,0.1
Solly March,eng ENG,"DF,FW",27-272,30.9,12,6,10,99,59,10,82.9,84.1,73.2,51.8,37,132,280,443,63,25,12,"1,330",30.9,0,1,1.2,2.4
Dan Burn,eng ENG,DF,29-344,13.7,12,8,4,135,165,55,68.8,82.1,88.5,69,100,391,362,64,12,13,12,"1,022",13.7,1,0,1.3,0
Danny Welbeck,eng ENG,"FW,MF",31-143,4.8,0,10,1,25,14,6,71.5,86.6,83.3,75,11,26,117,189,58,19,9,952,4.8,3,0,2.6,0.3
Enock Mwepu,zam ZAM,"MF,FW",24-107,2,7,11,5,0,0,0,63.3,81.1,81.4,52.8,22,93,222,152,30,14,9,772,2,2,4,1.6,1.3
Steven Alzate,col COL,MF,23-222,25.7,3,5,1,60,177,172,75,90.2,94.4,75,16,81,168,56,4,9,5,404,25.7,0,0,0.1,0.2
Moises Caicedo,ec ECU,MF,20-167,29.2,0,2,1,223,335,58,67.4,83.3,64.3,100,3,13,39,25,4,2,2,167,29.2,0,1,0,0.1
Aaron Connolly,irl IRL,FW,22-080,11.6,0,0,0,109,106,38,72.9,81.8,85.7,0,0,0,14,21,4,4,1,156,11.6,0,0,0.5,0.4
Jason Steele,eng ENG,GK,31-243,28.7,0,0,0,165,90,18,71,100,100,63.6,37,42,0,0,0,1,1,90,28.7,0,0,0,0
Jeremy Sarmiento,ec ECU,"FW,DF",19-306,17,1,0,1,0,0,0,51.2,55.6,100,0,2,6,8,11,1,3,1,24,17,0,0,0,0
Taylor Richards,eng ENG,"MF,FW",21-135,11.5,0,0,0,105,33,17,73,87.5,85.7,100,0,3,15,16,0,2,0,25,11.5,0,0,0,0
Evan Ferguson,irl IRL,MF,17-181,0.2,0,0,0,0,4,1,58.5,75,100,100,0,0,1,8,0,1,0,23,0.2,0,0,0,0
Jurgen Locadia,nd NED,FW,28-162,1.6,0,1,0,9,5,2,72.7,0,100,0,0,0,3,3,2,1,0,23,1.6,0,0,0.1,0
Squad Total,,,26.1,31,282,216,87,1705,1938,1001,71.5,81.8,79.3,50.7,2487,6514,6857,3758,662,32,352,"2,880",31,36,23,37.5,24.2
Opponent Total,,,27.5,31,193,200,63,1131,1646,1054,78.8,87.6,85.8,56.2,1914,5831,9382,6063,783,32,352,"2,880",31,46,37,41.2,29.4
