Player,Nation,Pos,Age,Tackles_Def_3rd,Tackles_Mid 3rd,Tackles_Att_3rd
Robert Sánchez,es ESP,GK,24-151,0,0,0
Marc Cucurella,es ESP,DF,23-270,27,35,7
Leandro Trossard,be BEL,"FW,MF",27-135,8,12,14
Joël Veltman,nl NED,DF,30-093,44,25,5
Neal Maupay,fr FRA,FW,25-247,3,9,5
Lewis Dunk,eng ENG,DF,30-148,9,10,1
Yves Bissouma,ml MLI,MF,25-231,32,32,3
Pascal Groß,de GER,"MF,DF",30-307,16,9,2
Jakub Moder,pl POL,"MF,FW",23-011,19,14,9
Adam Lallana,eng ENG,MF,33-343,19,15,4
Alexis Mac Allister,ar ARG,"MF,FW",23-115,22,26,13
Tariq Lamptey,eng ENG,"DF,FW",21-200,14,18,4
Shane Duffy,ie IRL,DF,30-107,12,1,3
Adam Webster,eng ENG,DF,27-104,14,3,2
Solly March,eng ENG,"DF,FW",27-272,12,6,10
Dan Burn,eng ENG,DF,29-344,12,8,4
Danny Welbeck,eng ENG,"FW,MF",31-143,0,10,1
Enock Mwepu,zm ZAM,"MF,FW",24-107,7,11,5
Steven Alzate,co COL,MF,23-222,3,5,1
Moisés Caicedo,ec ECU,MF,20-167,0,2,1
Aaron Connolly,ie IRL,FW,22-080,0,0,0
Jason Steele,eng ENG,GK,31-243,0,0,0
Jeremy Sarmiento,ec ECU,"FW,DF",19-306,1,0,1
Taylor Richards,eng ENG,"MF,FW",21-135,0,0,0
Evan Ferguson,ie IRL,MF,17-181,0,0,0
Jürgen Locadia,nl NED,FW,28-162,0,1,0
Squad Total,,,27,274,252,95
Opponent Total,,,27.5,289,208,73
