Player,Nation,Pos,Age,Tackles_Def_3rd,Tackles_Mid 3rd,Tackles_Att_3rd,Pressures_Def_3rd,Pressure_Mid_3rd,Pressure_Att_3rd,Passing_Total_Cmp%,Short_Cmp%,Medium_Cmp%,Long_Cmp%,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Matches_Played,Starts,Minutes_Played,Gls,Ast,xG,xA
Alisson,br BRA,GK,29-191,0,0,0,5,0,0,86.1,98.6,98.9,64,894,1173,8,0,0,29,29,"2,610",0,1,0,0.4
Virgil van Dijk,nl NED,DF,30-277,11,6,1,58,39,6,90.6,92.5,95.8,78.2,277,1134,1258,71,41,29,29,"2,610",3,1,2.1,0.3
Mohamed Salah,eg EGY,FW,29-300,5,5,4,60,110,226,78.1,88.5,76,50.8,5,64,430,937,282,29,27,"2,418",20,11,19.1,9.3
Trent Alexander-Arnold,eng ENG,DF,23-186,19,14,5,95,82,69,74.4,88.4,79.8,57.6,70,508,1150,920,76,27,27,"2,403",2,12,2.3,9.9
Sadio Mané,sn SEN,FW,30-001,7,11,11,51,173,156,75,83.6,74.2,76.2,17,99,554,719,213,28,26,"2,332",13,1,14.9,3.6
Joël Matip,cm CMR,DF,30-246,14,15,5,85,61,16,90.2,90.3,94,83.2,199,837,1264,146,46,25,25,"2,250",1,2,2,0.8
Jordan Henderson,eng ENG,MF,31-298,5,20,4,83,223,94,82.8,90.2,86.3,67.8,36,235,1199,638,42,28,25,"2,170",2,5,1.4,3.6
Andrew Robertson,sct SCO,DF,28-031,11,12,4,72,99,66,79.9,90.8,84.7,50.5,73,460,1002,743,82,24,24,"2,114",1,10,1.5,4.8
Fabinho,br BRA,MF,28-170,16,30,6,114,195,51,87.6,90.1,91.7,74.8,44,336,956,265,17,24,22,"2,001",5,1,3.3,0.8
Diogo Jota,pt POR,FW,25-128,10,12,6,78,198,207,73.5,78.9,80.4,54.5,15,83,396,493,145,28,22,"1,909",15,1,14.4,4.2
Thiago Alcántara,es ESP,MF,31-000,14,24,9,69,131,56,88.4,91.3,91.9,80.8,30,214,799,275,24,19,13,"1,188",1,2,1.6,1.7
Naby Keïta,gn GUI,MF,27-060,12,12,5,53,123,63,86.7,90.7,90.1,74.4,12,93,402,213,19,16,10,843,2,1,1.2,1.1
Roberto Firmino,br BRA,FW,30-191,5,15,10,31,101,85,79.3,89.6,75.3,73.1,3,50,287,275,58,18,9,887,5,3,4.8,2
Alex Oxlade-Chamberlain,eng ENG,"MF,FW",28-239,3,7,7,26,76,70,78.9,83.9,85.5,68.8,6,50,259,245,33,17,9,785,2,1,1.2,0.9
Ibrahima Konaté,fr FRA,DF,22-321,5,3,1,34,20,2,87.8,89.3,94.8,69.7,67,268,319,10,4,8,8,720,0,0,0.1,0.1
Curtis Jones,eng ENG,MF,21-071,2,8,1,30,103,49,90,95.6,93.3,67.3,9,73,334,197,13,13,8,700,1,1,0.7,0.6
Kostas Tsimikas,gr GRE,DF,25-334,6,4,5,42,36,30,71.8,88.2,79.2,42.7,27,135,211,266,25,10,7,670,0,2,0.5,1.7
James Milner,eng ENG,"MF,DF",36-097,12,12,3,29,72,25,81.2,86.5,87.8,64.2,38,158,316,183,8,20,7,636,0,1,0.2,1.4
Luis Díaz,co COL,FW,25-088,3,3,3,18,38,43,87.3,92.6,81.3,91.7,2,25,135,194,43,7,6,517,2,0,2.3,1
Harvey Elliott,eng ENG,MF,19-007,1,0,0,17,42,18,84.6,89.1,87.5,76.2,1,22,121,127,18,5,3,282,0,0,0.7,0.3
Joe Gomez,eng ENG,DF,24-323,2,0,1,11,13,6,82.2,86,83,80,5,36,108,70,1,6,2,196,0,1,0,0.3
Caoimhín Kelleher,ie IRL,GK,23-139,0,0,0,0,0,0,90,100,100,60.9,72,94,0,0,0,2,2,180,0,0,0,0
Tyler Morton,eng ENG,MF,19-162,0,0,0,1,9,2,86.5,93.3,93.3,66.7,0,3,33,5,0,2,1,66,0,0,0,0
Takumi Minamino,jp JPN,"FW,MF",27-085,1,1,0,3,23,14,85.4,80,92.9,100,0,5,23,26,5,10,0,96,2,0,1.5,0.4
Divock Origi,be BEL,FW,26-358,0,0,0,1,9,7,80,75,100,0,1,2,9,29,13,5,0,76,2,0,0.8,0
Kaide Gordon,eng ENG,FW,17-188,0,0,1,0,1,5,100,100,0,100,0,0,4,4,1,1,0,9,0,0,0.4,0
Neco Williams,wls WAL,DF,20-363,0,0,0,1,0,0,100,100,100,100,0,2,2,4,1,1,0,8,0,1,0,0.6
Squad Total,,,28.5,164,214,92,1067,1977,1366,83.1,89.4,88.4,67.6,1903,6159,11579,7055,1210,31,341,"2,790",79,58,75.2,49.8
Opponent Total,,,27.4,357,176,40,1978,2054,914,73.7,85.5,81.3,49.6,2850,7280,6603,3126,521,31,341,"2,790",21,15,30.3,24.4
