Player,Nation,Pos,Age,Tackles_Def_3rd,Tackles_Mid 3rd,Tackles_Att_3rd,Pressures_Def_3rd,Pressure_Mid_3rd,Pressure_Att_3rd,Passing_Total_Cmp%,Short_Cmp%,Medium_Cmp%,Long_Cmp%,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Matches_Played,Starts,Minutes_Played,Gls,Ast,xG,xA
Ederson,br BRA,GK,28-234,0,0,0,0,89,100,100,100,99.8,69.6,800,949,11,0,0,30,30,"2,700",0,0,0,0.1
Joao Cancelo,pt POR,DF,27-316,23,33,18,109,84.1,92.2,86.7,92.1,86.8,62.4,61,500,1594,1111,88,30,29,"2,597",1,6,2.9,4
Bernardo Silva,pt POR,"MF,FW",27-241,19,17,10,186,88.3,93.6,89.2,93.7,89,71.6,48,285,929,902,184,30,29,"2,509",7,3,6.4,4.5
Rodri,es ESP,MF,25-290,18,28,9,192,92.4,94.2,94.4,94.2,94.2,86.9,79,494,1549,573,46,26,26,"2,282",3,1,1.8,1.2
Aymeric Laporte,es ESP,DF,27-316,14,8,1,38,95.2,96.4,97.1,96.5,97.1,88.6,208,937,1610,141,39,26,26,"2,260",3,0,3.5,0.4
Ruben Dias,pt POR,DF,24-329,11,16,3,70,94.3,95.5,97.1,95.5,97.1,86.9,155,729,1428,100,27,25,24,"2,132",2,3,1.5,2.1
Phil Foden,eng ENG,FW,21-315,4,3,6,104,80.6,90.6,85.7,90.9,84.7,51.1,6,51,414,724,121,23,20,"1,761",7,3,8,4.9
Kyle Walker,eng ENG,DF,31-315,11,9,2,78,89.4,94.7,91.8,94.2,91.7,75.4,45,355,1110,411,22,20,20,"1,755",0,2,0.3,1.2
Raheem Sterling,eng ENG,FW,27-121,1,11,13,120,83.2,90.1,85.2,89.7,85.2,57.9,5,48,319,727,128,25,19,"1,733",10,3,10.9,3.8
Kevin De Bruyne,be BEL,MF,30-284,3,9,5,113,76,86.1,80.6,86,80.5,53,21,81,561,803,90,24,19,"1,703",11,3,4.7,6.2
Jack Grealish,eng ENG,FW,26-210,3,8,2,70,86.5,90.5,90.9,90.3,90.5,77.3,12,56,378,634,155,21,18,"1,544",2,2,4.1,5.1
Ilkay Gundogan,de GER,MF,31-166,7,8,1,70,85.9,93.7,89.2,93.7,89.2,65.3,16,118,546,513,77,21,16,"1,440",6,4,6.8,3.9
Gabriel Jesus,br BRA,FW,25-005,4,3,8,97,84.2,89.9,84.6,89.6,84.3,68.8,10,70,313,480,123,22,16,"1,447",3,7,6.6,4
Riyad Mahrez,dz ALG,FW,31-046,1,2,3,63,82.8,88.9,87.1,89,87.2,58.9,13,61,275,641,105,23,12,"1,229",10,4,8.6,3.2
John Stones,eng ENG,DF,27-315,3,1,0,19,93.4,94,97.3,93.9,97.5,83.7,95,338,588,75,7,12,10,953,1,0,0.9,0.1
Nathan Ake,nl NED,DF,27-049,5,6,1,28,92.5,95.5,93.3,95.5,93.3,81.5,59,297,458,83,6,10,8,761,1,0,0.7,0.5
Fernandinho,br BRA,MF,36-339,4,10,1,53,89.4,91.2,93.8,91.2,93.8,71,17,86,381,129,11,13,6,610,1,1,1.4,0.8
Oleksandr Zinchenko,ua UKR,DF,25-114,4,7,2,33,89.4,93.8,93,93.8,93,77.9,11,101,352,233,8,8,6,597,0,1,0.1,0.9
Ferran Torres,es ESP,FW,22-038,0,1,0,8,76.4,80.6,85.7,80.6,80.6,83.3,0,5,30,71,28,4,4,303,2,1,2.5,0
Cole Palmer,eng ENG,"FW,MF",19-337,1,1,0,11,84.9,93.5,78.6,93.5,93.5,66.7,0,5,30,46,15,4,1,123,0,0,0.3,0.2
Zack Steffen,us USA,GK,27-006,0,0,0,0,86.8,100,100,100,100,50,37,41,0,0,0,1,1,90,0,0,0,0
Benjamin Mendy,fr FRA,DF,27-265,1,1,1,8,83.9,86.7,100,86.7,86.7,57.1,0,16,57,28,1,1,1,78,0,0,0,0.3
James Mcatee,eng ENG,"MF,FW",19-172,0,0,0,0,69.2,66.7,83.3,66.7,66.7,0,0,1,10,6,3,2,0,20,0,0,0,0
Liam Delap,eng ENG,FW,19-059,0,0,0,1,100,100,,100,100,0,0,1,0,0,1,1,0,10,0,0,0,0
Kayky Chagas,br BRA,FW,18-301,0,0,0,1,100,100,100,100,100,0,0,2,2,0,1,1,0,7,0,0,0,0
Squad Total,,,27.7,132,178,737,1472,88.2,92.7,92,74.5,30,1605,5433,12642,8287,1306,30,30,30,"2,700",68,42,68.8,45.6
Opponent Total,,,27.6,340,165,2232,1996,75.8,86.4,84.9,50.4,30,2846,6527,5228,2318,394,30,30,30,2700,18,15,21.3,15.9
