Player,Nation,Pos,Age,Tackles_Def_3rd,Tackles_Mid 3rd,Tackles_Att_3rd,Pressures_Def_3rd,Pressure_Mid_3rd,Pressure_Att_3rd,Passing_Total_Cmp%,Short_Cmp%,Medium_Cmp%,Long_Cmp%,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Matches_Played,Starts,Minutes_Played,Gls,Ast,xG,xA
Hugo Lloris,fr FRA,GK,35-107,0,0,0,3,1,0,79.2,98.7,99.6,56.8,785,852,2,0,0,31,31,"2,790",0,0,0,0.5
Harry Kane,eng ENG,FW,28-258,1,9,5,23,127,165,70.9,78.8,74.8,65.2,36,118,622,541,148,30,29,"2,602",12,8,15.1,7.7
Pierre Højbjerg,dk DEN,MF,26-250,23,37,11,220,265,81,89,92.7,91.8,75.9,93,602,1450,382,24,29,29,"2,566",2,2,1.9,1.9
Eric Dier,eng ENG,DF,28-087,8,9,2,75,60,6,88.8,94.6,94.1,72,370,1170,860,46,15,28,28,"2,441",0,0,0.9,1.3
Son Heung-min,kr KOR,"FW,MF",29-278,6,7,1,57,150,101,77,90.7,83.9,38,7,128,517,732,142,28,28,"2,409",17,6,12.1,7.1
Ben Davies,wls WAL,DF,28-353,15,14,6,110,74,32,85.5,91.4,91.4,57.2,125,557,708,195,26,22,21,"1,917",1,1,1.5,0.5
Sergio Reguilón,es ESP,DF,25-117,21,18,6,115,121,49,75.4,84.8,78.4,53.5,75,329,488,453,55,24,21,"1,826",2,3,3,4
Emerson,br BRA,DF,23-088,45,16,6,193,137,63,80.9,89.9,82.2,52.5,81,427,523,453,50,24,19,"1,680",1,1,1,1.9
Lucas Moura,br BRA,"FW,MF",29-242,4,14,6,61,125,64,75.7,86.5,75.7,43.1,20,101,521,389,52,28,17,"1,569",2,5,3.3,3.6
Cristian Romero,ar ARG,DF,23-350,37,24,2,166,73,14,88.2,92.3,94,71.8,196,674,573,70,13,18,17,"1,484",1,0,0.6,0.3
Oliver Skipp,eng ENG,MF,21-208,14,16,3,109,131,35,89.5,93.2,92.5,76.8,30,192,658,155,10,18,14,"1,350",0,0,0.2,0.9
Davinson Sánchez,co COL,DF,25-304,20,14,3,80,73,15,88.7,94.4,94,69.8,119,472,509,89,19,18,14,"1,331",2,0,2,0.1
Japhet Tanganga,eng ENG,DF,23-012,10,6,5,52,45,13,82.6,88.6,84.7,58.8,47,181,242,115,11,11,10,735,0,0,0.4,0.4
Matt Doherty,ie IRL,DF,30-086,9,8,1,49,53,16,81.8,89.1,85,61.7,34,185,280,210,37,15,9,875,2,4,2.5,1.8
Harry Winks,eng ENG,MF,26-069,4,7,3,49,67,22,86.4,92.9,89.3,70.8,23,169,443,152,4,15,9,860,0,1,0.1,1.5
Dejan Kulusevski,se SWE,"MF,FW",21-352,6,4,0,74,82,40,84.7,92,86.3,58.8,3,62,191,210,51,11,9,838,3,6,2.4,3.1
Rodrigo Bentancur,uy URU,MF,24-311,13,10,3,77,108,24,89.7,94.5,91.2,86.9,39,182,459,117,6,10,9,777,0,1,0.2,0.8
Ryan Sessegnon,eng ENG,"DF,MF",21-329,8,4,1,58,41,27,73.6,83.2,77.6,50,17,90,93,104,16,9,7,537,0,1,0.2,0.8
Tanguy Ndombele,fr FRA,MF,25-105,4,8,1,24,45,19,86.4,93,85.3,80,5,46,217,114,13,9,6,484,1,1,0.5,0.4
Steven Bergwijn,nl NED,"FW,MF",24-186,2,1,2,13,33,30,82.8,91.7,79.1,60,6,39,102,146,37,20,4,514,3,1,2.8,0.6
Giovani Lo Celso,ar ARG,"MF,FW",26-003,4,3,1,26,29,14,79.1,91.3,77.8,72.7,1,25,99,85,10,9,2,238,0,0,0.7,0.6
Bryan,es ESP,"FW,MF",21-060,2,0,2,10,6,22,77.8,82.9,78.9,80,2,10,19,58,4,9,0,94,0,0,0,0.1
Joe Rodon,wls WAL,DF,24-172,0,0,0,5,2,0,94.4,100,90.9,100,10,18,14,1,0,1,0,79,0,0,0,0
Dane Scarlett,eng ENG,MF,18-019,0,0,0,2,0,0,100,100,,,0,0,1,0,0,1,0,4,0,0,0,0
Squad Total,,,27.3,267,235,72,1732,1940,888,83.6,90.5,88.7,64.3,2147,6716,9763,4914,763,31,341,"2,790",50,41,52.6,40.5
Opponent Total,,,27.7,237,252,95,1442,2142,1156,81.7,88.8,88.5,62.3,2022,5843,8825,5357,779,31,341,"2,790",36,27,34.7,24.3
