Player,Nation,Pos,Age,90s,Tackles_Def_3rd,Tackles_Mid 3rd,Tackles_Att_3rd,Pressures_Def_3rd,Pressure_Mid_3rd,Pressure_Att_3rd,Passing_Total_Cmp%,Short_Cmp%,Medium_Cmp%,Long_Cmp%,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Matches_Played,Starts,Minutes_Played,Gls,Ast,xG,xA
Łukasz Fabiański,pl POL,GK,36-359,31,0,0,0,1,0,0,63,100,99.4,49.2,805,872,1,0,0,31,31,"2,790",0,0,0,0
Declan Rice,eng ENG,MF,23-088,30,38,25,4,180,197,29,90.2,93.3,92.5,82.1,118,578,1370,370,42,30,30,"2,700",1,4,0.9,1.8
Tomáš Souček,cz CZE,MF,27-044,29.9,29,25,7,155,201,57,78.8,80.9,81.9,71.9,129,432,864,348,82,30,30,"2,688",4,1,4.2,1.4
Michail Antonio,jm JAM,FW,32-015,29.3,5,8,11,25,146,232,65.5,76.4,67.7,53.8,18,66,437,651,155,31,30,"2,637",8,7,9.2,6.3
Jarrod Bowen,eng ENG,FW,25-113,27.9,18,12,6,142,204,125,68,80.1,73.7,52.6,23,150,436,593,138,30,29,"2,515",9,8,9.4,5.3
Pablo Fornals,es ESP,"FW,MF",26-049,26,18,16,11,154,239,151,75.2,86.5,79.2,55.9,30,225,690,581,66,30,27,"2,344",6,2,4.3,4.2
Craig Dawson,eng ENG,DF,31-341,25.9,16,10,0,100,56,9,81.9,90.6,89.9,64.8,223,719,605,67,36,29,25,"2,333",2,2,2.5,0.5
Aaron Cresswell,eng ENG,DF,32-118,24.3,19,6,2,84,56,22,79.9,92.6,87.4,47,96,519,909,522,25,25,25,"2,186",2,3,0.9,2.7
Saïd Benrahma,dz ALG,"FW,MF",26-245,21.2,16,12,5,100,163,61,75,85.8,77.2,50.6,17,139,417,521,84,28,23,"1,910",6,6,4.2,2.9
Vladimír Coufal,cz CZE,DF,29-233,19.7,23,10,7,116,83,48,68.5,83.6,73.4,34.2,87,413,573,471,24,23,20,"1,769",0,3,0.6,2.2
Kurt Zouma,fr FRA,DF,27-167,19.1,8,1,0,44,29,8,87.9,93,92.4,68.3,215,559,455,31,15,20,20,"1,718",1,0,0.8,0
Manuel Lanzini,ar ARG,MF,29-056,15.3,10,7,6,85,155,60,90.4,95.8,89.4,71.3,20,194,609,323,36,24,14,"1,379",4,2,2.5,1.9
Ben Johnson,eng ENG,DF,22-078,13.4,13,12,4,72,48,30,69,87.1,71.5,46.5,78,297,364,206,11,16,14,"1,206",1,0,0.1,0.6
Angelo Ogbonna,it ITA,DF,33-324,10.2,8,5,0,32,15,3,86.7,95.1,94.2,63.1,69,293,251,14,8,11,11,921,1,0,0.3,0
Issa Diop,fr FRA,DF,25-093,9.7,4,5,0,37,24,1,86.6,94.2,91.9,59.5,76,286,220,8,3,12,9,873,0,1,0.1,0.1
Arthur Masuaku,cd COD,"DF,FW",28-156,6.2,16,11,2,49,42,9,77.7,88.7,77.4,39.5,27,122,174,147,9,12,5,560,1,1,0.1,0.9
Nikola Vlašić,hr CRO,"FW,MF",24-190,5.3,3,8,2,38,60,42,77.5,92.2,75.9,33.3,1,31,119,107,27,17,5,481,1,0,0.9,0.4
Ryan Fredericks,eng ENG,DF,29-184,2.4,3,0,0,12,5,4,70.1,81.1,75.7,33.3,16,40,47,26,1,6,2,217,0,0,0,0.1
Mark Noble,eng ENG,MF,34-339,1.6,1,1,0,7,8,4,88,92.7,94.7,57.9,2,31,88,12,2,6,1,147,1,0,1.5,0.2
Alphonse Areola,fr FRA,GK,29-044,1,0,0,0,0,0,0,48.8,,100,34.4,40,42,0,0,0,1,1,90,0,0,0,0
Andriy Yarmolenko,ua UKR,"FW,MF",32-171,2,1,1,0,13,15,16,72.2,73,73.9,77.8,3,16,38,57,15,14,0,178,1,0,0.5,0
Harrison Ashby,sct SCO,DF,20-149,0.1,0,0,0,0,0,0,87.5,100,80,100,1,3,1,5,0,1,0,7,0,0,0,0
Sonny Perkins,eng ENG,FW,18-061,0,0,0,0,0,1,0,0,,0,,0,0,1,0,0,1,0,4,0,0,0,0
Daniel Chesters,eng ENG,MF,20-008,0,0,0,0,0,0,0,,,,,0,0,0,0,0,1,0,1,0,0,0,0
Alex Král,cz CZE,MF,23-328,0,0,0,0,0,1,1,0,0,0,,0,0,2,0,0,1,0,1,0,0,0,0
Squad Total,,,28.8,32,249,175,67,1446,1748,912,78.3,88.1,84.8,56.9,2094,6027,8671,5060,779,32,352,"2,880",49,40,42.3,31.5
Opponent Total,,,27.6,32,298,181,59,1545,1795,933,80.9,89.1,86.7,59.7,2267,6812,9300,5419,880,32,352,"2,880",41,31,40.9,28.3
